E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.20.B Evolución del precio de la vivienda de segunda mano (€/m2)  por Distrito y Barrio
;;2017;2018;2019;2020;2021;2022
19. Vicálvaro;191. Casco Histórico de Vicálvaro (El Cañaveral - Los Berrocales);Sin Datos;Sin Datos;2.420;2.413;2.878;..
19. Vicálvaro;192. Ambroz;1.611;1.956;2.092;2.027;2.032;3.073
20. San Blas-Canillejas;20. San Blas-Canillejas;2.489;2.595;2.488;2.558;2.596;2.776
20. San Blas-Canillejas;201. Simancas;2.308;2.511;2.600;2.632;2.620;2.898
20. San Blas-Canillejas;202. Hellín;Sin Datos;Sin Datos;1.925;1.904;2.007;2.159
20. San Blas-Canillejas;203. Amposta;Sin Datos;Sin Datos;2.073;1.880;1.851;2.095
20. San Blas-Canillejas;204. Arcos;1.817;2.084;2.130;2.181;2.064;2.243
20. San Blas-Canillejas;205. Rosas;2.854;2.993;3.121;2.942;3.332;3.522
20. San Blas-Canillejas;206. Rejas;2.920;3.133;3.022;3.069;3.128;3.141
20. San Blas-Canillejas;207. Canillejas;2.033;2.100;2.360;2.352;2.355;2.531
20. San Blas-Canillejas;208. Salvador;3.265;Sin Datos;3.074;3.422;3.462;3.437
21. Barajas;21. Barajas;2.993;3.242;3.203;3.147;3.360;3.414
21. Barajas;211. Alameda de Osuna;2.884;3.185;3.273;3.376;3.542;3.628
21. Barajas;212. Aeropuerto;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;..
21. Barajas;213. Casco Histórico de Barajas;Sin Datos;Sin Datos;3.104;2.749;2.973;2.992
21. Barajas;214. Timón;Sin Datos;Sin Datos;3.088;3.013;3.013;3.164
21. Barajas;215. Corralejos;Sin Datos;Sin Datos;3.476;3.454;3.688;3.742
;
;
"Fuente: Serie revisada por la fuente, para más detalle consultar la web www.idealista.com"
"Observaciones: Datos a diciembre de cada año.
Algunos barrios aparecen divididos  en  zonas que utilizan la denominación utilizada por la fuente"
